GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,IHXE001,NAME_M,IHXM001
"G1301350","2010","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",808719,"Gwinnett County, Georgia",0
"G1301390","2010","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",180253,"Hall County, Georgia",0
"G1301510","2010","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",205265,"Henry County, Georgia",0
"G1301530","2010","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",140713,"Houston County, Georgia",0
"G1301850","2010","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",109734,"Lowndes County, Georgia",0
"G1302150","2010","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",190417,"Muscogee County, Georgia",0
"G1302170","2010","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",100086,"Newton County, Georgia",0
"G1302230","2010","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",142741,"Paulding County, Georgia",0
"G1302450","2010","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",201005,"Richmond County, Georgia",0
"G1302470","2010","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",85434,"Rockdale County, Georgia",0
"G1302850","2010","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",67187,"Troup County, Georgia",0
"G1302950","2010","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",68761,"Walker County, Georgia",0
"G1302970","2010","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",84004,"Walton County, Georgia",0
"G1303130","2010","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",102934,"Whitfield County, Georgia",0
"G1500010","2010","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",185406,"Hawaii County, Hawaii",0
"G1500030","2010","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",955775,"Honolulu County, Hawaii",0
"G1500070","2010","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",67226,"Kauai County, Hawaii",0
"G1500090","2010","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",155170,"Maui County, Hawaii",45
"G1600010","2010","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",393531,"Ada County, Idaho",0
"G1600050","2010","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",83071,"Bannock County, Idaho",0
"G1600190","2010","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",104592,"Bonneville County, Idaho",0
"G1600270","2010","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",189428,"Canyon County, Idaho",0
"G1600550","2010","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",138901,"Kootenai County, Idaho",0
"G1600830","2010","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",77517,"Twin Falls County, Idaho",0
"G1700010","2010","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",67120,"Adams County, Illinois",0
"G1700190","2010","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",201332,"Champaign County, Illinois",0
"G1700310","2010","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",5200950,"Cook County, Illinois",0
"G1700370","2010","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",105201,"DeKalb County, Illinois",0
"G1700430","2010","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",918764,"DuPage County, Illinois",0
"G1700890","2010","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",516499,"Kane County, Illinois",0
"G1700910","2010","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",113502,"Kankakee County, Illinois",0
"G1700930","2010","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",115304,"Kendall County, Illinois",0
"G1700970","2010","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",704596,"Lake County, Illinois",0
"G1700990","2010","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",113840,"LaSalle County, Illinois",0
"G1701110","2010","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",309192,"McHenry County, Illinois",0
"G1701130","2010","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",169832,"McLean County, Illinois",0
"G1701150","2010","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",110715,"Macon County, Illinois",0
"G1701190","2010","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",269271,"Madison County, Illinois",0
"G1701430","2010","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",186311,"Peoria County, Illinois",0
"G1701610","2010","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",147517,"Rock Island County, Illinois",0
"G1701630","2010","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",270419,"St. Clair County, Illinois",0
"G1701670","2010","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",197822,"Sangamon County, Illinois",0
"G1701790","2010","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",135433,"Tazewell County, Illinois",0
"G1701830","2010","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",81551,"Vermilion County, Illinois",0
"G1701970","2010","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",678697,"Will County, Illinois",0
"G1701990","2010","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",66369,"Williamson County, Illinois",0
"G1702010","2010","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",295127,"Winnebago County, Illinois",0
"G1800030","2010","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",355856,"Allen County, Indiana",0
"G1800050","2010","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",76855,"Bartholomew County, Indiana",0
"G1800190","2010","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",110610,"Clark County, Indiana",0
"G1800350","2010","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",117669,"Delaware County, Indiana",0
"G1800390","2010","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",197646,"Elkhart County, Indiana",0
"G1800430","2010","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",74679,"Floyd County, Indiana",0
"G1800530","2010","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",69975,"Grant County, Indiana",0
"G1800570","2010","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",276390,"Hamilton County, Indiana",0
"G1800590","2010","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",70250,"Hancock County, Indiana",0
"G1800630","2010","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",145867,"Hendricks County, Indiana",0
"G1800670","2010","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",82770,"Howard County, Indiana",0
"G1800810","2010","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",140009,"Johnson County, Indiana",0
"G1800850","2010","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",77368,"Kosciusko County, Indiana",0
"G1800890","2010","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",495981,"Lake County, Indiana",0
"G1800910","2010","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",111465,"LaPorte County, Indiana",0
"G1800950","2010","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",131642,"Madison County, Indiana",0
"G1800970","2010","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",904878,"Marion County, Indiana",0
"G1801050","2010","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",138422,"Monroe County, Indiana",0
"G1801090","2010","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",69061,"Morgan County, Indiana",0
"G1801270","2010","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",164592,"Porter County, Indiana",0
"G1801410","2010","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",266961,"St. Joseph County, Indiana",0
"G1801570","2010","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",172963,"Tippecanoe County, Indiana",0
"G1801630","2010","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",179833,"Vanderburgh County, Indiana",0
"G1801670","2010","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",107958,"Vigo County, Indiana",0
"G1801770","2010","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",68853,"Wayne County, Indiana",0
"G1900130","2010","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",131221,"Black Hawk County, Iowa",0
"G1900490","2010","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",66616,"Dallas County, Iowa",0
"G1900610","2010","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",93880,"Dubuque County, Iowa",0
"G1901030","2010","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",131225,"Johnson County, Iowa",0
"G1901130","2010","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",211501,"Linn County, Iowa",0
"G1901530","2010","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",432260,"Polk County, Iowa",0
"G1901550","2010","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",93359,"Pottawattamie County, Iowa",0
"G1901630","2010","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",165841,"Scott County, Iowa",0
"G1901690","2010","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",89575,"Story County, Iowa",0
"G1901930","2010","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",102407,"Woodbury County, Iowa",0
"G2000150","2010","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",65923,"Butler County, Kansas",0
"G2000450","2010","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",111130,"Douglas County, Kansas",0
"G2000910","2010","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",545876,"Johnson County, Kansas",0
"G2001030","2010","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",73749,"Leavenworth County, Kansas",2332
"G2001610","2010","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",71481,"Riley County, Kansas",0
"G2001730","2010","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",499393,"Sedgwick County, Kansas",0
"G2001770","2010","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",178301,"Shawnee County, Kansas",0
"G2002090","2010","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",157845,"Wyandotte County, Kansas",0
"G2100150","2010","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",119290,"Boone County, Kentucky",0
"G2100290","2010","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",74473,"Bullitt County, Kentucky",0
"G2100370","2010","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",90532,"Campbell County, Kentucky",0
"G2100470","2010","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",74179,"Christian County, Kentucky",0
"G2100590","2010","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",96762,"Daviess County, Kentucky",0
"G2100670","2010","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",296765,"Fayette County, Kentucky",0
"G2100930","2010","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",106933,"Hardin County, Kentucky",0
"G2101110","2010","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",742172,"Jefferson County, Kentucky",0
"G2101170","2010","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",159876,"Kenton County, Kentucky",0
"G2101450","2010","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",65539,"McCracken County, Kentucky",0
"G2101510","2010","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",83157,"Madison County, Kentucky",0
"G2101950","2010","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",64952,"Pike County, Kentucky",0
"G2102270","2010","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",114172,"Warren County, Kentucky",0
"G2200050","2010","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",107891,"Ascension Parish, Louisiana",0
"G2200150","2010","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",117522,"Bossier Parish, Louisiana",0
"G2200170","2010","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",255543,"Caddo Parish, Louisiana",0
"G2200190","2010","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",193230,"Calcasieu Parish, Louisiana",0
"G2200330","2010","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",440909,"East Baton Rouge Parish, Louisiana",0
"G2200450","2010","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",73236,"Iberia Parish, Louisiana",0
"G2200510","2010","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",432449,"Jefferson Parish, Louisiana",0
"G2200550","2010","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",222051,"Lafayette Parish, Louisiana",0
"G2200570","2010","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",96328,"Lafourche Parish, Louisiana",0
"G2200630","2010","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",128549,"Livingston Parish, Louisiana",0
"G2200710","2010","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",347858,"Orleans Parish, Louisiana",0
"G2200730","2010","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",153910,"Ouachita Parish, Louisiana",0
"G2200790","2010","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",131779,"Rapides Parish, Louisiana",0
"G2200970","2010","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",83454,"St. Landry Parish, Louisiana",0
"G2201030","2010","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",234568,"St. Tammany Parish, Louisiana",0
"G2201050","2010","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",121425,"Tangipahoa Parish, Louisiana",0
"G2201090","2010","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",111861,"Terrebonne Parish, Louisiana",0
"G2300010","2010","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",107623,"Androscoggin County, Maine",0
"G2300030","2010","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",71720,"Aroostook County, Maine",0
"G2300050","2010","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",281457,"Cumberland County, Maine",0
"G2300110","2010","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",122143,"Kennebec County, Maine",0
"G2300190","2010","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",153849,"Penobscot County, Maine",0
"G2300310","2010","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",197216,"York County, Maine",0
"G2400010","2010","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",75021,"Allegany County, Maryland",0
"G2400030","2010","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",539198,"Anne Arundel County, Maryland",0
"G2400050","2010","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",805709,"Baltimore County, Maryland",0
"G2400090","2010","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",88936,"Calvert County, Maryland",0
"G2400130","2010","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",167241,"Carroll County, Maryland",0
"G2400150","2010","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",101199,"Cecil County, Maryland",0
"G2400170","2010","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",147086,"Charles County, Maryland",0
"G2400210","2010","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,"05000US24021","Frederick County, Maryland",234122,"Frederick County, Maryland",0
"G2400250","2010","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,"05000US24025","Harford County, Maryland",245177,"Harford County, Maryland",0
"G2400270","2010","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,"05000US24027","Howard County, Maryland",288376,"Howard County, Maryland",0
"G2400310","2010","MD",,,"Maryland","24","Montgomery County","031",,,,,,,,,,,,,,,,,,"05000US24031","Montgomery County, Maryland",976203,"Montgomery County, Maryland",0
"G2400330","2010","MD",,,"Maryland","24","Prince George's County","033",,,,,,,,,,,,,,,,,,"05000US24033","Prince George's County, Maryland",865271,"Prince George's County, Maryland",0
"G2400370","2010","MD",,,"Maryland","24","St. Mary's County","037",,,,,,,,,,,,,,,,,,"05000US24037","St. Mary's County, Maryland",105786,"St. Mary's County, Maryland",0
"G2400430","2010","MD",,,"Maryland","24","Washington County","043",,,,,,,,,,,,,,,,,,"05000US24043","Washington County, Maryland",147558,"Washington County, Maryland",0
"G2400450","2010","MD",,,"Maryland","24","Wicomico County","045",,,,,,,,,,,,,,,,,,"05000US24045","Wicomico County, Maryland",98843,"Wicomico County, Maryland",0
"G2405100","2010","MD",,,"Maryland","24","Baltimore City","510",,,,,,,,,,,,,,,,,,"05000US24510","Baltimore city, Maryland",620583,"Baltimore city, Maryland",0
"G2500010","2010","MA",,,"Massachusetts","25","Barnstable County","001",,,,,,,,,,,,,,,,,,"05000US25001","Barnstable County, Massachusetts",215937,"Barnstable County, Massachusetts",0
"G2500030","2010","MA",,,"Massachusetts","25","Berkshire County","003",,,,,,,,,,,,,,,,,,"05000US25003","Berkshire County, Massachusetts",131144,"Berkshire County, Massachusetts",0
"G2500050","2010","MA",,,"Massachusetts","25","Bristol County","005",,,,,,,,,,,,,,,,,,"05000US25005","Bristol County, Massachusetts",548612,"Bristol County, Massachusetts",0
"G2500090","2010","MA",,,"Massachusetts","25","Essex County","009",,,,,,,,,,,,,,,,,,"05000US25009","Essex County, Massachusetts",744644,"Essex County, Massachusetts",0
"G2500110","2010","MA",,,"Massachusetts","25","Franklin County","011",,,,,,,,,,,,,,,,,,"05000US25011","Franklin County, Massachusetts",71369,"Franklin County, Massachusetts",0
"G2500130","2010","MA",,,"Massachusetts","25","Hampden County","013",,,,,,,,,,,,,,,,,,"05000US25013","Hampden County, Massachusetts",463678,"Hampden County, Massachusetts",0
"G2500150","2010","MA",,,"Massachusetts","25","Hampshire County","015",,,,,,,,,,,,,,,,,,"05000US25015","Hampshire County, Massachusetts",158094,"Hampshire County, Massachusetts",0
"G2500170","2010","MA",,,"Massachusetts","25","Middlesex County","017",,,,,,,,,,,,,,,,,,"05000US25017","Middlesex County, Massachusetts",1506008,"Middlesex County, Massachusetts",0
"G2500210","2010","MA",,,"Massachusetts","25","Norfolk County","021",,,,,,,,,,,,,,,,,,"05000US25021","Norfolk County, Massachusetts",672376,"Norfolk County, Massachusetts",0
"G2500230","2010","MA",,,"Massachusetts","25","Plymouth County","023",,,,,,,,,,,,,,,,,,"05000US25023","Plymouth County, Massachusetts",495780,"Plymouth County, Massachusetts",0
"G2500250","2010","MA",,,"Massachusetts","25","Suffolk County","025",,,,,,,,,,,,,,,,,,"05000US25025","Suffolk County, Massachusetts",723323,"Suffolk County, Massachusetts",0
"G2500270","2010","MA",,,"Massachusetts","25","Worcester County","027",,,,,,,,,,,,,,,,,,"05000US25027","Worcester County, Massachusetts",799553,"Worcester County, Massachusetts",0
"G2600050","2010","MI",,,"Michigan","26","Allegan County","005",,,,,,,,,,,,,,,,,,"05000US26005","Allegan County, Michigan",111503,"Allegan County, Michigan",0
"G2600170","2010","MI",,,"Michigan","26","Bay County","017",,,,,,,,,,,,,,,,,,"05000US26017","Bay County, Michigan",107703,"Bay County, Michigan",0
"G2600210","2010","MI",,,"Michigan","26","Berrien County","021",,,,,,,,,,,,,,,,,,"05000US26021","Berrien County, Michigan",156805,"Berrien County, Michigan",0
"G2600250","2010","MI",,,"Michigan","26","Calhoun County","025",,,,,,,,,,,,,,,,,,"05000US26025","Calhoun County, Michigan",136072,"Calhoun County, Michigan",0
"G2600370","2010","MI",,,"Michigan","26","Clinton County","037",,,,,,,,,,,,,,,,,,"05000US26037","Clinton County, Michigan",75426,"Clinton County, Michigan",0
"G2600450","2010","MI",,,"Michigan","26","Eaton County","045",,,,,,,,,,,,,,,,,,"05000US26045","Eaton County, Michigan",107838,"Eaton County, Michigan",0
"G2600490","2010","MI",,,"Michigan","26","Genesee County","049",,,,,,,,,,,,,,,,,,"05000US26049","Genesee County, Michigan",424926,"Genesee County, Michigan",0
"G2600550","2010","MI",,,"Michigan","26","Grand Traverse County","055",,,,,,,,,,,,,,,,,,"05000US26055","Grand Traverse County, Michigan",87043,"Grand Traverse County, Michigan",0
"G2600650","2010","MI",,,"Michigan","26","Ingham County","065",,,,,,,,,,,,,,,,,,"05000US26065","Ingham County, Michigan",280812,"Ingham County, Michigan",0
